"id","chapter","EZ_charter","HD_charter","IN_charter","AT_charter","EZ_notes","HD_notes","IN_notes","AT_notes"
"Glaciaxion.SunsetRay","Legacy","Barbarianerman","阿爽 fixed by Clutter","Barbarianerman vs. NerSAN","","66","393","729",""
"EradicationCatastrophe.NceS","Legacy","Barbarianerman","Barbarianerman fixed by Clutter","Barbarianerman","","181","200","593",""
"Credits.Frums","Legacy","Ctymax","Ctymax","Ctymax","_鉄 (Isotope 59)","188","355","535","638"
"Dlyrotz.Likey","Legacy","Su1fuR","Su1fuR","XMT小咩兔 vs. Barbarianerman","","398","458","584",""
"EnginexStartmelodymix.CrossingSound","Legacy","Clutter","Clutter","阿爽","","75","192","433",""
"光.姜米條","Legacy","Catcats & 百九十八 fixed by Clutter","Catcats & 百九十八 fixed by Clutter","Catcats & 百九十八","","138","315","517",""
"Wintercube.CtymaxfeatNceS","Legacy","Ctymax after 7 years","Salt","百九十八","","306","449","733",""
"Cipher20.TetrajectoryfeatCtymax","Legacy","M3d1uM","M3d1uM","Barbarianerman feat. Gausbon","","401","473","1041",""
"混乱Confusion.OnlyMyBlackScore","Legacy","StR-1","StR-1","XMT小咩兔","","319","478","978",""
"FULiAUTOSHOOTER.MYUKKE","Legacy","Knight","Knight","AUTO. SHOOTER. fixed by Ctymax","","141","389","843",""
"HumaN.SOTUI","Legacy","Clutter","Clutter","CN_115+TangScend","","111","222","554",""
"PRAW.Bluewind","Legacy","Likey","Likey","晨 vs. 阿爽","","413","575","1171",""
"PixelRebelz.Normal1zer","Legacy","Knight","Knight","NerSAN","","285","505","941",""
"Cereris.SunsetRayNceS","Legacy","Su1fuR","Su1fuR","StupiGGy","","490","701","898",""
"NonMelodicRagezMUGEdit.Normal1zer","Legacy","Clutter","Clutter","分化者 fixed by Barbarianerman","","347","675","1235",""
"SultanRage.MonstDeath","Legacy","百九十八","百九十八","百九十八","","159","334","485",""
"ClassMemories.AntistarfeatCtymax","Legacy","M3d1uM","M3d1uM","JKy","","393","771","1194",""
"SURREALISM.Itsuki","Legacy","Su1fuR","Su1fuR","-StupiGGy- fixed by 晨","","338","571","914",""
"BonusTime.MegaloPaleWhite","Legacy","Clutter","Clutter","Uvernight fixed by 百九十八","","214","412","689",""
"ENERGYSYNERGYMATRIX.Tanchiky","Legacy","Su1fuR","Su1fuR","Ctymax vs. 阿爽  fixed by B B M pow","","450","580","750",""
"NYA.FLuoRiTe姜米條","Chapter 5","HCC!!!","HCC!!!","HCC!!!","","122","428","666",""
"JunXionBetweenLifeAndDeathVIPMix.1N6Fs","Chapter 5","鲲&百九十八","鲲&百九十八","鲲&百九十八","","262","593","722",""
"cryout.JuE","Chapter 5","Ctymax","Ctymax","Ctymax but 5 years later","","221","529","712",""
"Reimei.影虎","Chapter 5","百九十八","百九十八","百九十八","","325","644","983",""
"尊師TheGuru.rider","Chapter 5","M3d1uM","M3d1uM","奥術 ~The Empery~","","386","565","738",""
